id,en,zh_Hans,zh_Hant
Quipper-StatPreviewTool,Stat Preview Tool,能力值预览工具,能力值預覽工具
QUIPPER_STAT_PREVIEW_TOOL_SHOW_OPTIONS,show settings options,显示设置项,顯示設定選項
QUIPPER_STAT_PREVIEW_TOOL_HIDE_ALL,hide all stat preview,隐藏所有能力值预览,隱藏所有能力值預覽
QUIPPER_STAT_PREVIEW_TOOL_SHOW_CAP,show stat cap,显示能力值上限,顯示能力值上限
QUIPPER_STAT_PREVIEW_TOOL_SHOW_ARMOR_DETAIL,show take damage reduction,显示承受伤害减免,顯示承受傷害減免
QUIPPER_STAT_PREVIEW_TOOL_SHOW_HP_REGENERATION_DETAIL,show health regenerated per second,显示每秒回复生命,顯示每秒回復生命
QUIPPER_STAT_PREVIEW_TOOL_SHOW_ADVANCED_OPTIONS,show advanced settings options,显示进阶设置项,顯示進階設定選項
QUIPPER_STAT_PREVIEW_TOOL_SHOW_ARMOR,Armor,护甲,盔甲
QUIPPER_STAT_PREVIEW_TOOL_SHOW_ATTACK_SPEED,Attack Speed,攻击速度,攻擊速度
QUIPPER_STAT_PREVIEW_TOOL_SHOW_CRIT_CHANCE,Crit Chance,暴击率,爆擊機率
QUIPPER_STAT_PREVIEW_TOOL_SHOW_DODGE,Dodge,闪避,迴避
QUIPPER_STAT_PREVIEW_TOOL_SHOW_ELEMENTAL_DAMAGE,Elemental Damage,元素伤害,屬性傷害
QUIPPER_STAT_PREVIEW_TOOL_SHOW_ENGINEERING,Engineering,工程学,工程學
QUIPPER_STAT_PREVIEW_TOOL_SHOW_HARVESTING,Harvesting,收获,收穫結算
QUIPPER_STAT_PREVIEW_TOOL_SHOW_HEALTH,Max HP,最大生命值,最大HP
QUIPPER_STAT_PREVIEW_TOOL_SHOW_HEALTH_REGENERATION,HP Regeneration,生命再生,HP再生
QUIPPER_STAT_PREVIEW_TOOL_SHOW_LIFESTEAL,Life Steal,生命窃取,生命竊取
QUIPPER_STAT_PREVIEW_TOOL_SHOW_LUCK,Luck,幸运,運氣
QUIPPER_STAT_PREVIEW_TOOL_SHOW_MELEE_DAMAGE,Melee Damage,近战伤害,近距離傷害
QUIPPER_STAT_PREVIEW_TOOL_SHOW_PERCENT_DAMAGE,%Damage,%伤害,%傷害
QUIPPER_STAT_PREVIEW_TOOL_SHOW_RANGE,Range,范围,範圍
QUIPPER_STAT_PREVIEW_TOOL_SHOW_RANGED_DAMAGE,Ranged Damage,远程伤害,範圍傷害
QUIPPER_STAT_PREVIEW_TOOL_SHOW_SPEED,Speed,速度,速度
